CODE,SYMBOL
6296321,RUSHIL
6585345,RUPA
6100481,RULKA-SM
194660353,RUDRA
3538177,RUCHIRA
1168897,RUCHINFRA
752385,RUBYMILLS
194384897,RUBICON
6330881,RUBFILA
4485121,RTNPOWER
6988033,RTNINDIA
193991681,RTL-ST
3433985,RSYSTEMS
715265,RSWM
1645825,RSSOFTWARE
194928385,RSL
4752897,RRKABEL
5803521,RPTECH
2078465,RPSGVENT
1769729,RPPL
5314561,RPPINFRA
3906305,RPOWER
4281601,RPGLIFE
6332161,RPEL
7610113,ROYALARC-SM
5162753,ROXHITECH-SM
32769,ROUTE
2316545,ROTO
7002369,ROSSTECH
7401729,ROSSELLIND
4968961,ROSSARI
91905,ROML
4891649,ROLLT-BE
1351425,ROLEXRINGS
3374593,ROHLTD
194568705,ROCKPP-X1
5194753,ROCKINGDCE-ST
7693057,ROADSTAR-IV
194088193,RNPL-SM
6294785,RNFI-SM
194299905,RNBDENIMS-BE
3065601,RML
194005505,RMDRIP
5899009,RKSWAMY
2921217,RKFORGE
396033,RKEC
5363201,RKDL
3048961,RITEZONE-SM
962817,RITES
2289665,RITCO
4714753,RISHABH
2522625,RILINFRA-SM
195134465,RIIT-IV
745473,RIIL
744705,RICOAUTO
2101249,RICHA-SM
3880193,RHL
7977729,RHIM
194319873,RHETAN
3873025,RGL
7493121,REXPRO-SM
1359105,REXPIPES-SM
6181121,RETAIL
5202689,RESPONIND
3360257,REPRO
378881,REPL
7577089,REPCOHOME
3078657,RENUKA
4135425,REMUS-SM
1015041,REMSONSIND
6296577,RELTD
1226497,RELINFRA-BE
3857409,RELIGARE
738561,RELIANCE
6240769,RELIABLE
2470913,RELCHEMQ
6201601,RELAXO
1057281,REGENCERAM
194222081,REGAAL
6071809,REFRACTORY-SM
4547585,REFEX
4571905,REDTAPE
3649281,REDINGTON
3930881,RECLTD
7567617,READYMIX-SM
3376129,RCOM-BE
733697,RCF
5038337,RCDL-SM
5343745,RBZJEWEL
6032641,RBS-SM
3473921,RBMINFRA-SM
4708097,RBLBANK
382465,RBA
194189057,RAYMONDREL
6418689,RAYMONDLSL
731905,RAYMOND
4716289,RATNAVEER
3443457,RATNAMANI
1837313,RATEGAIN
6556161,RAPPID-SM
7797761,RAPIDFLEET-SM
728065,RANEHOLDIN
726273,RANASUG
2684161,RAMRAT
5154305,RAMKY
2009857,RAMCOSYS
1174273,RAMCOIND
523009,RAMCOCEM
2636801,RAMASTEEL
2705409,RAMAPHO
3472641,RAMANEWS
720897,RALLIS
3687169,RAJTV
719105,RAJSREESUG
2157569,RAJRILTD-BE
4854273,RAJRATAN
6980865,RAJPUTANA-SM
193804545,RAJOOENG
555009,RAJMET
6324993,RAJINDLTD-SM
194678017,RAJESHEXPO-BZ
2408449,RAINBOW
3926273,RAIN
622337,RAILTEL
6001153,RADIOWALLA-SM
5088513,RADIOCITY
2813441,RADICO
3476481,RADIANTCMS
2647809,RADHIKAJWE
2798593,RADAAN
6955777,RACLGEAR
3940097,RACE
6388993,QVCEL-SM
3912961,QUICKTOUCH-SM
3357697,QUICKHEAL
6091777,QUESTLAB-ST
4532225,QUESS
194034177,QUALITY30
4558849,QUAL30IETF
1502721,QUADPRO-SM
7446273,QUADFUTURE
194451457,QSIFHRR-SF
194380289,QSIFHRG-SF
194376961,QSIFHDG-SF
7606017,QPOWER
4305665,QNIFTY
2935553,QMSMEDI-SM
3924481,QGOLDHALF
3740929,QFIL-SM
4672001,PYRAMID
194489089,PWL
4499457,PVTBANKADD
2914817,PVTBANIETF
5924353,PVSL
3365633,PVRINOX
1026561,PVP
193966849,PUSHPA-SM
5872129,PURVFLEXI-SM
3820033,PURVA
7175169,PURPLEUTED-SM
1112065,PUNJABCHEM
129793,PULZ-SM
3609857,PTL
4270593,PTCIL
2906881,PTC
3733505,PSUBNKIETF
3848193,PSUBNKBEES
4509697,PSUBANKADD
3855617,PSUBANK
7593473,PSRAJ-SM
5344513,PSPPROJECT
6510337,PSFL-SM
5376257,PSB
5254913,PRUDMOULI
2445569,PRUDENT
701185,PRSMJOHNSN
7387905,PROZONER
4219649,PROV-SM
7544833,PROTEAN
194092289,PROSTARM
2236161,PROPEQUITY-SM
4954113,PROLIFE-SM
193998337,PROFX-SM
6083585,PRLIND-SM
6274817,PRIZOR-ST
2259201,PRIVISCL
1354753,PRITIKAUTO
3320577,PRITIKA-SM
2125825,PRITI
4107521,PRINCEPIPE
193772801,PRIMO
3037185,PRIMESECU
194309889,PRIMECAB-SM
5025537,PRICOLLTD
5197313,PRESTIGE
5249537,PRESSTONIC-ST
6629889,PREMIUM-SM
1000449,PREMIERPOL
6412545,PREMIERENE
1599489,PREMIER-BE
4453633,PREMEXPLN
695553,PRECWIRE
1506305,PRECOT-BE
2035201,PRECISION-SM
3226369,PRECAM
308225,PRAXIS
5916929,PRATHAM-SM
6609409,PRANIK-SM
4739585,PRAMARA-SM
5017345,PRAKASHSTL
693249,PRAKASH
692481,PRAJIND
3568897,PRAENG
194939393,PRABHA-RE-BE
7714305,PRABHA
6344961,PPSL-SM
2962177,PPLPHARMA
2636033,PPL
3893505,PPAP
2681089,POWERMECH
4724993,POWERINDIA
3834113,POWERGRID
6365185,POSITRON-SM
2919169,POONAWALLA
2729217,PONNIERODE
5814785,POLYSIL-ST
687873,POLYPLEX
6583809,POLYMED
2455041,POLYCAB
1703937,POLICYBZR
4518657,POKARNA
4873217,PODDARMENT
3682561,POCL
194621953,PNGSREVA
6479873,PNGJL
2402561,PNCINFRA
2391553,PNC
4840449,PNBHOUSING
2236417,PNBGILTS
2730497,PNB
4981249,PLAZACABLE
5870081,PLATIND
3563521,PLASTIBLEN
4989953,PLADAINFO-SM
2642177,PKTEA
2326273,PIXTRANS
3618305,PITTIENG
194445057,PIRAMALFIN
3446529,PIONEEREMB
194513921,PINELABS
7893761,PILITA
2929921,PILANIINVS
6191105,PIIND
4023297,PIGL
681985,PIDILITIND
193985025,PICCADIL
6531329,PHOGLOBAL-SM
3725313,PHOENIXLTD
1273089,PHARMABEES
2972673,PHANTOMFX-SM
894465,PGINVIT-IV
3650561,PGIL
240641,PGHL
648961,PGHH
6491649,PGEL
5786113,PFS
3454977,PFOCUS
676609,PFIZER
194770689,PFCL41-ND
